Reaction;Subsystem
HMR_4233;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4235;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4242;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4243;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4244;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4245;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_4246;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_6707;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_6713;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_6714;Phenylalanine, tyrosine and tryptophan biosynthesis
HMR_6725;Phenylalanine, tyrosine and tryptophan biosynthesis
